"Week_ending_Friday","Week_number","Status","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Regular_Petrol_importer_cost_NZc.p.l","Regular_Petrol_ETS_NZc.p.l","Regular_Petrol_GST_NZc.p.l","Regular_Petrol_taxes_NZc.p.l","Regular_Petrol_price_excl_taxes_NZc.p.l","Regular_Petrol_main_port_price_NZc.p.l","Regular_Petrol_discounted_retail_price_NZc.p.l","Regular_Petrol_importer_margin_NZc.p.l","Regular_Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2010-03-19,"2010w11","Final",77.13,0.70932,108.737946201996,82.9743682082093,0,12.7061728395062,13.0811728395062,101.274382716049,115.9,114.355555555556,18.3000145078401,17.1653043111918,86.4741049591429,0,19.9345679012346,76.0635679012346,103.347543209877,180.9,179.411111111111,16.8734382507337,15.2753177781202,102.647222222222
2010-03-26,"2010w12","Final",77.27,0.7052,109.571752694271,82.838850412927,0,12.7061728395062,13.0811728395062,101.274382716049,115.9,114.355555555556,18.4355323031224,17.2240306606865,85.4576649755002,0,19.9345679012346,76.0635679012346,103.347543209877,180.9,179.411111111111,17.8898782343763,15.3307095477423,102.647222222222
2010-04-02,"2010w13","Final",79.27,0.708425,111.896107562551,84.1108611168097,0,12.6931565788709,13.0681565788709,101.170252630967,115.9,114.238409209838,17.0593915141572,17.2827570101812,85.9875987101813,0,19.5976335833479,75.7266335833479,100.652068666783,178.042857142857,176.378702250131,14.6644699566017,15.3861013173644,102.647222222222
2010-04-09,"2010w14","Final",82.82,0.706125,117.288015577978,89.6682614863712,0,12.8738705738706,13.2488705738706,102.615964590965,117.614285714286,115.864835164835,12.9477031045934,17.3414833596759,88.8565595225002,0,19.7258852258852,75.8548852258852,101.678081807082,179.328571428571,177.532967032967,12.8215222845816,15.4414930869865,104.171031746032
2010-04-16,"2010w15","Final",83.71,0.7138,117.27374614738,88.7511563096831,0,13.0167277167277,13.3917277167277,103.758821733822,118.9,117.150549450549,15.0076654241387,17.4002097091706,87.3690344705526,0,20.0115995115995,76.1405995115995,103.963796092796,181.9,180.104395604396,16.5947616222435,15.4968848566086,105.313888888889
2010-04-23,"2010w16","Final",83.26,0.7094,117.366788835636,88.5950823200982,0,13.0167277167277,13.3917277167277,103.758821733822,118.9,117.150549450549,15.1637394137235,17.4351529627404,86.9613930703321,0,20.0115995115995,76.1405995115995,103.963796092796,181.9,180.104395604396,17.002403022464,15.5320087033575,105.313888888889
2010-04-30,"2010w17","Final",84.63,0.71922,117.669141570034,89.5224033602277,0,13.254822954823,13.629822954823,105.663583638584,121.042857142857,119.293406593407,16.1411802783559,17.4700962163101,87.4908266669924,0,20.0115995115995,76.1405995115995,103.963796092796,181.9,180.104395604396,16.4729694258037,15.5671325501065,107.218650793651
2010-05-07,"2010w18","Final",81.09,0.72328,112.114257272426,88.7884423628716,0,13.3500610500611,13.7250610500611,106.425488400488,121.9,120.150549450549,17.6370460376168,17.5050394698799,84.9404123880686,0,20.0115995115995,76.1405995115995,103.963796092796,181.9,180.104395604396,19.0233837047275,15.6022563968554,107.980555555556
2010-05-14,"2010w19","Final",79.5,0.71622,110.999413588004,86.2600497357757,0,13.3500610500611,13.7250610500611,106.425488400488,121.9,120.150549450549,20.1654386647127,17.5399827234497,81.5461909567083,0,19.5671550671551,75.6961550671551,100.408240537241,177.9,176.104395604396,18.8620495805323,15.6373802436044,107.980555555556
2010-05-21,"2010w20","Final",72.43,0.68882,105.150837664412,83.014435885001,0,13.1595848595849,13.5345848595849,104.901678876679,120.185714285714,118.436263736264,21.8872429916779,17.5749259770195,80.0302083901497,0,19.3766788766789,75.5056788766789,98.884431013431,176.185714285714,174.39010989011,18.8542226232813,15.6725040903533,106.456746031746
2010-05-28,"2010w21","Final",70.14,0.67286,104.241595577089,81.7021517863178,0,12.8738705738706,13.2488705738706,102.615964590965,117.614285714286,115.864835164835,20.9138128046468,17.6098692305892,78.4408898450265,0,19.1544566544567,75.2834566544566,97.1066532356532,174.185714285714,172.39010989011,18.6657633906267,15.7076279371023,104.171031746032
2010-06-04,"2010w22","Final",73.46,0.67982,108.058015357006,84.4272019473047,0,12.6833943833944,13.0583943833944,101.092155067155,115.9,114.150549450549,16.6649531198503,17.644812484159,80.955711456385,0,19.0115995115995,75.1405995115995,95.9637960927961,172.9,171.104395604396,15.0080846364111,15.7427517838512,102.647222222222
2010-06-11,"2010w23","Final",72.7,0.670525,108.422504753738,84.3217306030093,0,12.6833943833944,13.0583943833944,101.092155067155,115.9,114.150549450549,16.7704244641457,17.6797557377288,81.5726854688639,0,19.0115995115995,75.1405995115995,95.9637960927961,172.9,171.104395604396,14.3911106239322,15.7778756306002,102.647222222222
2010-06-18,"2010w24","Final",75.37,0.69724,108.097642131834,84.9317079539803,0,12.6833943833944,13.0583943833944,101.092155067155,115.9,114.150549450549,16.1604471131748,17.677237949965,81.4146283316279,0,19.0115995115995,75.1405995115995,95.9637960927961,172.9,171.104395604396,14.5491677611682,15.7985530876012,102.647222222222
2010-06-25,"2010w25","Final",75.32,0.70982,106.111408526105,84.3408852887871,0,12.8421245421245,13.2171245421245,102.361996336996,117.328571428571,115.579120879121,18.0211110482093,17.6747201622011,79.9846559804436,0,19.2496947496947,75.3786947496947,97.868557997558,175.042857142857,173.247252747253,17.8839020171144,15.8192305446022,103.917063492064
2010-07-02,"2010w26","Final",72.23,0.69724,103.594171303999,82.5049684414477,0.9612,13.0683146391221,13.4433146391221,103.210317112977,119.614285714286,117.614831752099,20.705348671529,17.6722023744373,79.2004124568528,0.8316,19.50062339317,75.62962339317,99.0443871453598,177.614285714286,175.50561053853,19.843974688507,15.8399080016032,104.98760952381
2010-07-09,"2010w27","Final",71.64,0.6958,102.960620868066,81.3710262372063,2.403,12.968115942029,13.343115942029,100.966927536232,118.9,116.713043478261,19.5959012990255,17.6696845866735,78.6629972072507,2.079,19.2840579710145,75.4130579710145,96.0644637681159,175.9,173.55652173913,17.4014665608653,15.8605854586043,102.910888888889
2010-07-16,"2010w28","Final",73.22,0.71688,102.137038276978,81.2112437559334,2.403,12.968115942029,13.343115942029,100.966927536232,118.9,116.713043478261,19.7556837802985,17.6671667989096,78.1854367799513,2.079,19.2840579710145,75.4130579710145,96.0644637681159,175.9,173.55652173913,17.8790269881646,15.8812629156053,102.910888888889
2010-07-23,"2010w29","Final",73.79,0.71336,103.440058315577,82.4625067308576,2.403,12.968115942029,13.343115942029,100.966927536232,118.9,116.713043478261,18.5044208053743,17.6646490111458,79.5264358951382,2.079,19.2840579710145,75.4130579710145,96.0644637681159,175.9,173.55652173913,16.5380278729777,15.9019403726063,102.910888888889
2010-07-30,"2010w30","Final",73.92,0.72768,101.583113456464,81.7158677472649,2.403,12.968115942029,13.343115942029,100.966927536232,118.9,116.713043478261,19.251059788967,17.662131223382,78.3498919992366,2.079,19.2840579710145,75.4130579710145,96.0644637681159,175.9,173.55652173913,17.7145717688794,15.9226178296073,102.910888888889
2010-08-06,"2010w31","Final",78.78,0.73062,107.826229777449,85.0832460811737,2.403,12.968115942029,13.343115942029,100.966927536232,118.9,116.713043478261,15.8836814550582,17.6596134356182,80.8521731209624,2.079,19.3792960662526,75.5082960662526,96.8263685300207,176.757142857143,174.413664596273,15.9741954090583,15.9432952866083,102.910888888889
2010-08-13,"2010w32","Final",74.47,0.72176,103.17834183108,82.9938630784379,2.403,12.968115942029,13.343115942029,100.966927536232,118.9,116.713043478261,17.973064457794,17.6503555353302,79.2439802893637,2.079,19.5062801932367,75.6352801932367,97.8422415458937,177.9,175.55652173913,18.59826125653,15.9426712648179,102.910888888889
2010-08-20,"2010w33","Final",72.61,0.70852,102.48122847626,82.508734773769,2.403,12.968115942029,13.343115942029,100.966927536232,118.9,116.713043478261,18.4581927624628,17.6410976350423,78.9339227308853,2.079,19.3158040027605,75.4448040027605,96.3184320220842,176.185714285714,173.842236024845,17.3845092911989,15.9420472430274,102.910888888889
2010-08-27,"2010w34","Final",71.28,0.7036,101.307561114269,81.9355211861821,2.67,12.968115942029,13.343115942029,100.699927536232,118.9,116.713043478261,18.7644063500498,17.6318397347544,77.3682665851628,2.31,19.0935817805383,75.2225817805383,94.3096542443064,174.185714285714,171.842236024845,16.9413876591436,15.941423221237,102.643888888889
2010-09-03,"2010w35","Final",73.49,0.70856,103.71739866772,82.7688559284096,2.67,12.968115942029,13.343115942029,100.699927536232,118.9,116.713043478261,17.9310716078222,17.6225818344665,78.792786992651,2.31,19.0618357487923,75.1908357487923,94.0556859903382,173.9,171.55652173913,15.2628989976871,15.9407991994465,102.643888888889
