"Week_ending_Friday","Week_number","Status","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Regular_Petrol_importer_cost_NZc.p.l","Regular_Petrol_ETS_NZc.p.l","Regular_Petrol_GST_NZc.p.l","Regular_Petrol_taxes_NZc.p.l","Regular_Petrol_price_excl_taxes_NZc.p.l","Regular_Petrol_main_port_price_NZc.p.l","Regular_Petrol_discounted_retail_price_NZc.p.l","Regular_Petrol_importer_margin_NZc.p.l","Regular_Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2010-09-10,"2010w36","Final",75.02,0.72138,103.995120463556,81.8240478423826,2.67,12.968115942029,13.343115942029,100.699927536232,118.9,116.713043478261,18.8758796938493,17.6133239341785,77.899941038254,2.31,19.0618357487923,75.1908357487923,94.0556859903382,173.9,171.55652173913,16.1557449520842,15.9401751776561,102.643888888889
2010-09-17,"2010w37","Final",76.04,0.72868,104.353076796399,82.4533604242275,2.67,12.968115942029,13.343115942029,100.699927536232,118.9,116.713043478261,18.2465671120043,17.6040660338906,77.9646029158223,2.31,19.0618357487923,75.1908357487923,94.0556859903382,173.9,171.55652173913,16.0910830745159,15.9395511558656,102.643888888889
2010-09-24,"2010w38","Final",75.76,0.72984,103.803573385948,82.3806160032959,2.67,12.968115942029,13.343115942029,100.699927536232,118.9,116.713043478261,18.319311532936,17.5948081336027,76.9995167522509,2.31,19.0618357487923,75.1908357487923,94.0556859903382,173.9,171.55652173913,17.0561692380873,15.9389271340752,102.643888888889
2010-10-01,"2010w39","Final",77.14,0.73582,104.835421706396,83.0482408920857,2.67,15.3837294085876,15.7587294085876,99.5131960572509,120.185714285714,117.941925465839,16.4649551651652,17.5855502333147,77.8494408365975,2.31,22.7517148258169,78.8807148258169,93.2390988387794,176.9,174.429813664596,15.3896580021819,15.9383031122847,101.464316770186
2010-10-08,"2010w40","Final",81.31,0.74664,108.901210757527,85.615208796794,2.67,15.8769511207129,16.2519511207129,102.801340804753,124.042857142857,121.723291925466,17.1861320079589,17.6146639770071,80.4846806882066,2.31,23.4377531731029,82.5667531731029,94.8126878206859,182.328571428571,179.689440993789,14.3280071324794,15.929492751444,104.818354037267
2010-10-15,"2010w41","Final",80.69,0.75574,106.76952391034,85.0976501286588,2.67,15.988752362949,16.363752362949,103.54668241966,124.9,122.580434782609,18.449032291001,17.6437777206994,81.6250910557649,2.31,23.5122873345936,82.6412873345936,95.3095822306238,182.9,180.260869565217,13.6844911748589,15.9206823906032,105.563695652174
2010-10-22,"2010w42","Final",79.52,0.7513,105.843205111141,84.1022637654443,2.67,15.988752362949,16.363752362949,103.54668241966,124.9,122.580434782609,19.4444186542155,17.6728914643917,80.3192240669236,2.31,23.773156899811,82.902156899811,97.0487126654064,184.9,182.260869565217,16.7294885984829,15.9118720297625,105.563695652174
2010-10-29,"2010w43","Final",80.06,0.749975,106.7502250075,84.6104261076449,2.67,15.988752362949,16.363752362949,103.54668241966,124.9,122.580434782609,18.9362563120148,17.702005208084,80.8414394585533,2.31,23.773156899811,82.902156899811,97.0487126654064,184.9,182.260869565217,16.2072732068532,15.9030616689218,105.563695652174
2010-11-05,"2010w44","Final",83.3,0.777,107.207207207207,83.1017250916597,2.67,15.988752362949,16.363752362949,103.54668241966,124.9,122.580434782609,20.444957328,17.7311189517763,79.9203519083329,2.31,23.773156899811,82.902156899811,97.0487126654064,184.9,182.260869565217,17.1283607570735,15.8942513080811,105.563695652174
2010-11-12,"2010w45","Final",85.42,0.78422,108.923516360205,86.2509415889256,2.67,15.988752362949,16.363752362949,103.54668241966,124.9,122.580434782609,17.2957408307342,17.7602326954687,81.5265876933079,2.31,23.773156899811,82.902156899811,97.0487126654064,184.9,182.260869565217,15.5221249720985,15.8854409472403,105.563695652174
2010-11-19,"2010w46","Final",82.47,0.77308,106.677187354478,85.4037960960359,2.67,15.988752362949,16.363752362949,103.54668241966,124.9,122.580434782609,18.1428863236238,17.789346439161,81.0631723498144,2.31,23.773156899811,82.902156899811,97.0487126654064,184.9,182.260869565217,15.985540315592,15.8766305863996,105.563695652174
2010-11-26,"2010w47","Final",82.03,0.76618,107.063614294291,85.0686176431559,2.67,15.988752362949,16.363752362949,103.54668241966,124.9,122.580434782609,18.4780647765038,17.8184601828533,81.9590817633039,2.31,23.773156899811,82.902156899811,97.0487126654064,184.9,182.260869565217,15.0896309021025,15.8678202255589,105.563695652174
2010-12-03,"2010w48","Final",85.62,0.74886,114.333787356782,89.8015620778075,2.7768,16.2868890089117,16.6618890089117,105.427460059411,127.185714285714,124.866149068323,15.6258979816038,17.8702975990539,87.6127073417314,2.4024,24.0712935457737,83.2002935457737,98.943890305158,187.185714285714,184.546583850932,11.3311829634266,15.8690249914114,107.444473291925
2010-12-10,"2010w49","Final",88.19,0.75576,116.690483751455,92.4477421452641,2.8035,16.6222927356198,16.9972927356198,107.636784904132,129.757142857143,127.437577639752,15.1890427588677,17.9221350152545,90.8770989886952,2.4255,24.7421009991898,83.8711009991898,103.392839994599,192.328571428571,189.689440993789,12.5157410059038,15.870229757264,109.653798136646
2010-12-17,"2010w50","Final",89.23,0.74586,119.633711420374,93.4005490240602,2.8035,16.9763300027005,17.3513300027005,109.997033351337,132.471428571429,130.151863354037,16.5964843272765,17.9739724314552,91.660361899313,2.4255,25.1520388873886,84.2810388873886,106.125759249257,195.471428571429,192.832298136646,14.4653973499444,15.8714345231166,112.014046583851
2010-12-24,"2010w51","Final",90.68,0.74194,122.220125616627,95.3032352985524,2.8035,17.1440318660546,17.5190318660546,111.115045773697,133.757142857143,131.437577639752,15.8118104751446,18.0258098476558,94.3530517873576,2.4255,25.4315419929787,84.5605419929787,107.989113286524,197.614285714286,194.975155279503,13.6360614991669,15.8726392889691,113.132059006211
2010-12-31,"2010w52","Final",89.69,0.764866666666667,117.262267933409,93.1277305818371,2.8035,17.1526284994149,17.5276284994149,111.172356662766,133.9,131.503485162181,18.0446260809288,18.0776472638564,92.1206772015111,2.4255,25.4814474750203,84.6104474750203,108.321816500135,197.9,195.357763975155,16.2011392986239,15.8738440548217,113.256282608696
2011-01-07,"2011w01","Final",90.9,0.760466666666667,119.531866397826,94.5421459161701,2.8035,17.1275362318841,17.5025362318841,111.005074879227,133.9,131.311111111111,16.4629289630569,18.129484680057,92.8697163628242,2.4255,25.5130434782609,84.6420434782609,108.532456521739,197.9,195.6,15.6627401589149,15.8750488206742,113.256282608696
2011-01-14,"2011w02","Final",93.7,0.7637,122.692156605997,96.0401064719003,2.8035,17.1275362318841,17.5025362318841,111.005074879227,133.9,131.311111111111,14.9649684073268,18.1813220962577,93.7895505210032,2.4255,25.5130434782609,84.6420434782609,108.532456521739,197.9,195.6,14.7429060007359,15.8762535865268,113.256282608696
2011-01-21,"2011w03","Final",92.92,0.7672,121.1157455683,97.1863511715662,2.8035,17.5188405797101,17.8938405797101,113.613770531401,136.9,134.311111111111,16.4274193598348,18.2331595124583,94.25772822252,2.4255,25.7739130434783,84.9029130434783,110.271586956522,199.9,197.6,16.0138587340017,15.8774583523794,115.86497826087
2011-01-28,"2011w04","Final",92.73,0.76692,120.912220309811,96.8515492019756,2.8035,17.5188405797101,17.8938405797101,113.613770531401,136.9,134.311111111111,16.7622213294254,18.2943090052265,92.581153495547,2.4255,25.7739130434783,84.9029130434783,110.271586956522,199.9,197.6,17.6904334609747,15.8919988289686,115.86497826087
2011-02-04,"2011w05","Final",96.34,0.77376,124.508891645988,98.406731521673,2.8035,17.5188405797101,17.8938405797101,113.613770531401,136.9,134.311111111111,15.2070390097279,18.3554584979947,94.3486785427924,2.4255,25.7739130434783,84.9029130434783,110.271586956522,199.9,197.6,15.9229084137293,15.9065393055579,115.86497826087
